subject,phase,roi,stimulus_set,n_voxels,vision_split_rho_median,vision_split_rho_q25,vision_split_rho_q75,imagery_run_rho,vision_imagery_rho,transfer_p_greater,transfer_p_two_sided
1,pilot,nsdgeneral,A,1200,0.06785714285714285,-0.06517857142857142,0.23928571428571427,0.15357142857142855,0.21428571428571427,0.28055555555555556,0.5458333333333333
1,pilot,nsdgeneral,B,1200,0.175,0.0,0.33928571428571425,-0.30357142857142855,0.6464285714285715,0.018055555555555554,0.03333333333333333
1,pilot,early_visual,A,1200,0.40714285714285703,0.29107142857142854,0.5330357142857142,0.1714285714285714,-0.15357142857142858,0.6819444444444445,0.6652777777777777
1,pilot,early_visual,B,1200,-0.010714285714285711,-0.18749999999999997,0.1714285714285714,-0.4107142857142856,0.21428571428571427,0.25555555555555554,0.5194444444444445
1,pilot,higher_visual,A,1200,0.041071428571428564,-0.1544642857142857,0.19464285714285712,-0.010714285714285713,0.3678571428571429,0.13055555555555556,0.24722222222222223
1,pilot,higher_visual,B,1200,0.12678571428571428,-0.061607142857142846,0.3374999999999999,-0.3071428571428571,0.4392857142857143,0.07916666666666666,0.1736111111111111
2,heldout,nsdgeneral,A,1200,0.3678571428571428,0.25,0.5142857142857142,0.2928571428571428,0.37142857142857144,0.11944444444444445,0.24305555555555555
2,heldout,nsdgeneral,B,1200,0.15,0.02767857142857142,0.2758928571428571,0.11428571428571425,0.8464285714285714,0.002777777777777778,0.002777777777777778
2,heldout,early_visual,A,1200,0.5410714285714284,0.4580357142857142,0.6401785714285713,0.06071428571428571,0.11785714285714285,0.3486111111111111,0.7305555555555555
2,heldout,early_visual,B,1200,0.2678571428571428,0.13125,0.40892857142857136,-0.30357142857142855,0.6142857142857143,0.02638888888888889,0.05
2,heldout,higher_visual,A,1200,0.02321428571428571,-0.15714285714285714,0.18660714285714283,0.4464285714285714,0.25,0.24027777777777778,0.48055555555555557
2,heldout,higher_visual,B,1200,-0.012499999999999997,-0.16874999999999996,0.14464285714285713,0.38928571428571423,0.7214285714285714,0.002777777777777778,0.005555555555555556
3,heldout,nsdgeneral,A,1200,0.18214285714285713,0.024107142857142855,0.3321428571428571,0.3285714285714285,0.29642857142857143,0.1763888888888889,0.3611111111111111
3,heldout,nsdgeneral,B,1200,-0.12857142857142856,-0.2785714285714285,0.05446428571428571,-0.11428571428571425,-0.05714285714285714,0.6027777777777777,0.8347222222222223
3,heldout,early_visual,A,1200,0.28392857142857136,0.1464285714285714,0.3928571428571428,0.15357142857142855,0.5785714285714286,0.018055555555555554,0.08333333333333333
3,heldout,early_visual,B,1200,-0.10357142857142856,-0.27499999999999997,0.10357142857142855,0.06785714285714285,-0.24285714285714285,0.7847222222222222,0.44305555555555554
3,heldout,higher_visual,A,1200,0.016071428571428566,-0.17232142857142854,0.24642857142857136,-0.2571428571428571,0.40714285714285714,0.09861111111111111,0.20694444444444443
3,heldout,higher_visual,B,1200,0.14107142857142854,-0.03749999999999999,0.3044642857142857,0.2285714285714285,0.21071428571428572,0.26666666666666666,0.525
4,heldout,nsdgeneral,A,1200,0.021428571428571425,-0.12142857142857141,0.2223214285714285,0.5678571428571427,0.32857142857142857,0.14722222222222223,0.2972222222222222
4,heldout,nsdgeneral,B,1200,0.030357142857142853,-0.09017857142857141,0.19017857142857142,0.28928571428571426,0.3607142857142857,0.14027777777777778,0.2722222222222222
4,heldout,early_visual,A,1200,0.2571428571428571,0.10178571428571426,0.38035714285714284,0.37499999999999994,0.42857142857142855,0.09861111111111111,0.19722222222222222
4,heldout,early_visual,B,1200,0.0857142857142857,-0.0857142857142857,0.1857142857142857,0.0964285714285714,0.35,0.1375,0.28055555555555556
4,heldout,higher_visual,A,1200,-0.05357142857142857,-0.23303571428571423,0.11517857142857141,0.04642857142857142,0.08214285714285714,0.3888888888888889,0.8013888888888889
4,heldout,higher_visual,B,1200,0.14464285714285713,-0.026785714285714284,0.32499999999999996,0.4035714285714285,0.15357142857142858,0.3277777777777778,0.6708333333333333
5,heldout,nsdgeneral,A,1200,0.1875,0.03839285714285714,0.3616071428571428,0.3214285714285714,0.17142857142857143,0.325,0.5694444444444444
5,heldout,nsdgeneral,B,1200,0.27678571428571425,0.0857142857142857,0.3830357142857142,0.21071428571428572,0.35714285714285715,0.14722222222222223,0.2833333333333333
5,heldout,early_visual,A,1200,0.3857142857142856,0.2714285714285714,0.49285714285714277,0.4392857142857142,0.2892857142857143,0.17916666666666667,0.35138888888888886
5,heldout,early_visual,B,1200,0.3571428571428571,0.18660714285714286,0.5473214285714285,-0.2571428571428571,0.7678571428571429,0.006944444444444444,0.006944444444444444
5,heldout,higher_visual,A,1200,0.12142857142857141,-0.04196428571428571,0.2821428571428571,-0.007142857142857141,0.8607142857142858,0.002777777777777778,0.004166666666666667
5,heldout,higher_visual,B,1200,0.2089285714285714,0.04821428571428571,0.39999999999999997,0.15357142857142855,0.025,0.4625,0.9458333333333333
6,heldout,nsdgeneral,A,1200,-0.1607142857142857,-0.3401785714285714,0.011607142857142854,0.175,0.44285714285714284,0.0875,0.17777777777777778
6,heldout,nsdgeneral,B,1200,0.008928571428571426,-0.1607142857142857,0.16874999999999996,-0.32499999999999996,0.8142857142857143,0.001388888888888889,0.002777777777777778
6,heldout,early_visual,A,1200,0.22499999999999992,0.05357142857142857,0.39374999999999993,0.42499999999999993,0.8535714285714285,0.004166666666666667,0.005555555555555556
6,heldout,early_visual,B,1200,-0.039285714285714285,-0.1857142857142857,0.14464285714285713,-0.27499999999999997,-0.1,0.6041666666666666,0.7819444444444444
6,heldout,higher_visual,A,1200,-0.12142857142857141,-0.27946428571428567,0.04553571428571428,0.0964285714285714,-0.02142857142857143,0.525,0.9430555555555555
6,heldout,higher_visual,B,1200,0.049999999999999996,-0.14285714285714282,0.24642857142857136,-0.35,0.48928571428571427,0.07222222222222222,0.12638888888888888
7,heldout,nsdgeneral,A,1200,0.017857142857142853,-0.125,0.22946428571428565,-0.27499999999999997,-0.1,0.6291666666666667,0.7513888888888889
7,heldout,nsdgeneral,B,1200,0.13928571428571426,-0.1044642857142857,0.3232142857142857,-0.075,0.36428571428571427,0.14027777777777778,0.2916666666666667
7,heldout,early_visual,A,1200,0.36785714285714277,0.2178571428571428,0.5,-0.2714285714285714,0.29642857142857143,0.18333333333333332,0.35138888888888886
7,heldout,early_visual,B,1200,0.08392857142857141,-0.09999999999999999,0.25803571428571426,0.19999999999999998,-0.06785714285714285,0.5722222222222222,0.8541666666666666
7,heldout,higher_visual,A,1200,-0.09999999999999999,-0.2678571428571428,0.07857142857142857,-0.15357142857142855,-0.44285714285714284,0.9194444444444444,0.14722222222222223
7,heldout,higher_visual,B,1200,0.2571428571428571,0.04196428571428571,0.4392857142857142,-0.3178571428571428,0.6428571428571429,0.018055555555555554,0.020833333333333332
8,heldout,nsdgeneral,A,1200,-0.01964285714285714,-0.1544642857142857,0.14374999999999996,0.021428571428571425,0.8642857142857143,0.001388888888888889,0.001388888888888889
8,heldout,nsdgeneral,B,1200,0.08214285714285713,-0.11249999999999998,0.25,-0.32499999999999996,-0.1357142857142857,0.6791666666666667,0.6777777777777778
8,heldout,early_visual,A,1200,0.30178571428571427,0.13928571428571426,0.49017857142857135,0.010714285714285713,0.34285714285714286,0.14305555555555555,0.26666666666666666
8,heldout,early_visual,B,1200,0.1928571428571428,0.034821428571428566,0.3928571428571428,-0.2821428571428571,-0.37857142857142856,0.875,0.23472222222222222
8,heldout,higher_visual,A,1200,-0.0017857142857142852,-0.21874999999999994,0.1714285714285714,-0.175,0.75,0.005555555555555556,0.005555555555555556
8,heldout,higher_visual,B,1200,0.0857142857142857,-0.09553571428571428,0.2125,-0.2178571428571428,0.3142857142857143,0.17083333333333334,0.3375
